"";"program";"Timestamp";"ml";"ir";"stats";"db";"gender";"chocolate";"birthday";"neighbors";"stand";"stress";"gain";"rn";"bed_time";"good_day_1";"good_day_2"
"277";"ECONOMETRICS";"3/30/2021 18:39:35";"yes";"0";"mu";"nee";"male";"fat";"31/08/1997";0;"no";50;50;9;"2H 0M 0S";"Good weather";"No covid"
"278";NA;"3/30/2021 18:48:33";"yes";"1";"mu";"ja";"unknown";"slim";"01/01/2001";6;"yes";99;NA;NA;"NA  ";"1";"2"
"279";"ECONOMETRICS";"3/30/2021 18:56:08";"no";"0";"mu";"ja";"male";"I have no idea what you are talking about";"01/01/2001";4;"no";NA;100;NA;"1H 11M 0S";"Puthie";"More puthie"
"280";"ARTIFICIAL INTELLIGENCE";"3/30/2021 19:03:43";"yes";"0";"mu";"ja";"male";"I have no idea what you are talking about";"28/07/1998";0;"no";35;33;NA;"23H 49M 0S";"weather";"full stomach"
"281";"QUANTITATIVE RISK MANAGEMENT";"3/30/2021 19:05:48";"yes";"1";"mu";"ja";"female";"I have no idea what you are talking about";"27/06/1996";1;"no";22;75;5;"2H 0M 0S";"Surrounded with family";"Food"
"282";"ECONOMETRICS";"3/30/2021 19:39:32";"yes";"1";"mu";"ja";"male";"neither";"15/01/1998";2;"yes";60;60;NA;"4H 45M 0S";"Sun";"Girls"
"283";"COMPUTER SCIENCE";"3/30/2021 19:59:03";"yes";"0";"mu";"ja";"male";"neither";NA;2;"no";60;NA;7;"12H 20M 0S";"delicious food";"relaxing atmosphere "
"284";"DATA SCIENCE";"3/30/2021 20:05:41";"yes";"0";"mu";"nee";"female";"neither";"26/03/1997";1;"yes";98;0;NA;"23H 30M 0S";"Finishing tasks";"GME go brrrr"
"285";"BIOINFORMATICS";"3/30/2021 20:05:56";"yes";"1";"sigma";"ja";"male";"slim";"22/01/1996";1;"yes";50;0;NA;"0H 0M 0S  ";"Sun";"Wine"
"286";"ECONOMETRICS";"3/30/2021 20:19:21";"yes";"0";"mu";"ja";"female";"fat";NA;0;"no";80;100;10;"1H 15M 0S";"Good food";"Sunny day"
"287";"DATA SCIENCE";"3/30/2021 20:26:14";"yes";"1";"mu";"ja";"male";"fat";NA;0;"no";100;100;NA;"0H 0M 0S  ";"Warhammer";"Warhammer 40.000"
"288";"MATHEMATICS";"3/30/2021 20:31:27";"yes";"0";"sigma";"nee";"unknown";"I have no idea what you are talking about";"24/08/1997";0;"unknown";45;0;NA;"NA  ";"you";"also you"
"289";"ECONOMETRICS";"3/30/2021 21:00:15";"yes";"0";"mu";"ja";"male";"neither";NA;3;"yes";10;50;6;"1H 0M 0S";"love";"sex"
"290";"ARTIFICIAL INTELLIGENCE";"3/30/2021 21:02:22";"no";"0";"sigma";"unknown";"male";"I have no idea what you are talking about";"22/04/1993";0;"unknown";20;2;NA;"NA  ";"5";"5"
"291";"QUANTITATIVE RISK MANAGEMENT";"3/30/2021 21:06:27";"yes";"0";"mu";"ja";"male";"fat";"08/05/1999";2;"no";75;0,25;5;"NA  ";"Sex";"Good food"
"292";"ARTIFICIAL INTELLIGENCE";"3/30/2021 21:24:56";"yes";"1";"mu";"ja";"female";"fat";"16/12/1997";1;"no";20;2;NA;"0H 56M 0S ";"Sun";"Boyfriend"
"293";"BIOINFORMATICS";"3/30/2021 21:25:13";"yes";"0";"mu";"nee";"male";"fat";"02/09/1996";0;"no";77;NA;NA;"1H 30M 0S";"Beer";"Friends"
"294";"ARTIFICIAL INTELLIGENCE";"3/30/2021 21:27:34";"yes";"1";"mu";"ja";"male";"neither";"16/05/1999";1;"no";10;100;NA;"NA  ";"having breakfast with pancakes and strawberries ";"Chilling at the beach on a sunny day"
"295";"ECONOMETRICS";"3/30/2021 21:27:46";"yes";"0";"mu";"nee";"male";"neither";"18/02/1995";4;"no";99;17;NA;"0H 0M 0S  ";"what";"when"
"296";"ECONOMETRICS";"3/30/2021 21:34:48";"yes";"0";"mu";"ja";"female";"fat";"12/12/1995";3;"no";80;0,21;NA;"23H 3M 0S";"A bunch of laughing";"Bingewatching my favourite shows"
"297";"ECONOMETRICS";"3/30/2021 21:36:33";"yes";"1";"unknown";"nee";"male";"fat";NA;0;"no";30;20;6;"NA  ";"saturday";"sunday"
"298";"ARTIFICIAL INTELLIGENCE";"3/30/2021 21:54:08";"no";"0";"mu";"ja";"female";"neither";"19/12/1998";1;"no";70;1;8;"1H 0M 0S";"sun";"weekend"
"299";"FINANCE";"3/30/2021 22:17:11";"yes";"1";"mu";"ja";"male";"I have no idea what you are talking about";"23/11/1989";2;"yes";55;NA;NA;"4H 0M 0S";"Bananas";"Test"
"300";"ARTIFICIAL INTELLIGENCE";"3/30/2021 22:19:48";"no";"1";"mu";"nee";"male";"neither";"29/11/1987";0;"no";95;10;NA;"1H 30M 0S";"progress";"friends"
"301";"DATA SCIENCE";"3/30/2021 22:30:34";"yes";"1";"mu";"ja";"female";"I have no idea what you are talking about";"20/12/1989";0;"no";70;99;NA;"23H 30M 0S";"Sunshine";"Family and friends"
"302";"BIOINFORMATICS";"3/30/2021 22:37:23";"yes";"0";"mu";"ja";"male";"I have no idea what you are talking about";NA;1;"no";80;1;2;"1H 30M 0S";"Sunshine";"Exercise"
"303";"ARTIFICIAL INTELLIGENCE";"3/30/2021 22:42:18";"yes";"1";"mu";"nee";"female";"fat";NA;0;"no";80;80;10;"11H 0M 0S";"sunshine";"happiness"
"304";"FINANCE AND TECHNOLOGY";"3/30/2021 22:58:28";"yes";"0";"mu";"nee";"male";"slim";NA;1;"no";87;NA;3;"NA  ";"football";"Sun"
"305";"FINANCE AND TECHNOLOGY";"3/30/2021 23:12:08";"yes";"1";"sigma";"nee";"female";"fat";"24/11/1994";20;"yes";50;20;NA;"2H 0M 0S";"Weather";"Good news"
"306";"QUANTITATIVE RISK MANAGEMENT";"3/30/2021 23:14:42";"no";"0";"mu";"nee";"male";"neither";"26/02/1998";3;"no";0;0,25;NA;"1H 0M 0S";"Good food";"Good music"
"307";"BUSINESS ANALYTICS";"3/30/2021 23:44:58";"yes";"0";"mu";"ja";"male";"I have no idea what you are talking about";"27/05/1998";1;"no";70;1;6;"NA  ";"You";"Me"
